sensor_id,neighbor_id
A166,A115
A115,A172
A172,A171
A171,A064
A064,A065
A065,A130
A130,A073
A073,A082
A082,A072
A072,A087
A087,A040
A040,A039
A039,A038
A038,A062
A062,A142
A142,A145
A145,A146
A146,A101
A101,A114
A101,A153
A153,A112
A146,A127
A127,A070
A070,A037
A037,A185
A037,A141
A141,A131
A141,A035
A037,A173
A035,A036
A173,A033
A033,A111
A111,A150
A150,"070"
A111,A061
A061,A069
A058,A070
A058,A069
A090,A069
A090,A105
A105,A008
A008,A080
A080,A142
A142,A147
A147,A169
A169,A170
A170,A094
A094,A136
A136,A170
A136,A095
A095,A096
A096,A097
A097,A010
A010,A089
A089,A008
A010,A134
A134,A009
A008,A009
A134,A140
A011,A140
A140,A110
A110,A59
A009,A110
A140,A059
A012,A059
A024,A011
A024,A012
A012,A046
A046,A104
A104,A023
A023,A012
A095,A126
A126,A076
A076,A096
A076,A011
A011,A010
A095,A093
A093,A124
A124,A107
A124,A149
A149,A107
A149,A160
A160,A161
A126,A075
A161,A075
A161,A162
A162,A163
A163,A104
A163,A007
A163,A042
A042,A049
A049,A041
A041,A116
A041,A057
A057,A048
A048,A020
A020,A103
A020,A015
A015,A083
A083,A125
A015,A050
A050,A053
A053,A054
A054,A055
A055,A056
A056,A164
A164,A113
A113,A068
A068,A108
A108,A063
A063,A088
A088,A117
A117,A118
A068,A119
A116,A181
A042,A016
A116,A016
A116,A042
A042,A182
A042,A181
A182,A181
A181,A016
A103,A016
A015,A151
A151,A021
A021,A013
A013,A045
A045,A022
A022,A023
A104,A099
A099,A022
A099,A098
A098,A045
A182,A098
A181,A013
A182,A013
A125,A100
A100,A079
A079,A078
A078,A081
A078,A071
A071,A027
A147,A097
A086,A085
A085,A044
A085,A027
A044,A051
A051,A027
A027,A052
A052,A154
A154,A155
A155,A067
A083,"067"
A007,A104
A007,A099
A007,A005
A007,A022
A007,A023
A023,A028
A028,A059
A028,A005
A005,A102
A102,A139
A139,A045
A028,A029
A029,A030
A110,A030
A030,A031
A031,A032
A032,A034
A034,A036
A034,A081
A081,A102
A071,A077
A051,A077
A036,A084
A084,A051
A081,A077
A071,A081
A044,A035
A081,A006
A006,A102
A005,A006
A006,A029
A005,A029
A032,A033
A033,A036
A071,A013
A049,A163
A088,A020
A002,A001
A002,A200
A002,A007
A002,A163
A004,A023
A004,A005
A004,A022
A004,A003
A014,A021
A014,A100
A014,A125
A014,A151
A014,A019
A017,A181
A017,A016
A017,A116
A017,A042
A018,A107
A018,A001
A026,A071
A026,A025
A026,A081
A026,A078
A066,A086
A066,A154
A066,A052
A137,A094
A137,A170
A137,A136
A144,A145
A144,A142
A144,A090
A168,A177
A168,A001
A174,A046
A174,A075
A174,A076
A174,A011
A176,A049
A176,A159
A176,A177
A177,A168
A177,A178
A177,A176
A178,A177
A178,A043
A178,A049
A179,A041
A179,A122
A183,A128
A183,A184
A184,A183
A184,A050
