sensor_id,neighbor_id
A004,A005
A004,A022
A004,A023
A005,A006
A005,A028
A005,A102
A006,A081
A006,A102
A008,A080
A008,A089
A010,A011
A010,A089
A010,A097
A010,A134
A011,A024
A011,A076
A011,A174
A012,A023
A012,A024
A012,A046
A012,A059
A013,A021
A013,A045
A013,A071
A014,A021
A014,A151
A015,A020
A015,A050
A015,A151
A016,A017
A016,A042
A016,A103
A016,A116
A017,A042
A017,A116
A018,A107
A020,A048
A020,A088
A020,A103
A021,A151
A022,A023
A022,A045
A022,A099
A023,A028
A023,A104
A026,A071
A026,A081
A027,A051
A027,A052
A027,A071
A028,A059
A032,A033
A032,A034
A033,A036
A034,A036
A034,A081
A035,A036
A035,A141
A036,A084
A037,A141
A038,A039
A038,A062
A039,A040
A040,A087
A041,A049
A041,A116
A041,A179
A042,A049
A042,A116
A045,A098
A046,A104
A046,A174
A049,A176
A049,A178
A050,A053
A050,A184
A051,A077
A051,A084
A052,A066
A053,A054
A054,A055
A055,A056
A061,A069
A062,A142
A063,A088
A063,A108
A064,A065
A066,A086
A068,A108
A068,A113
A069,A090
A071,A077
A071,A081
A072,A082
A072,A087
A073,A082
A075,A126
A075,A174
A076,A096
A076,A126
A076,A174
A077,A081
A080,A142
A081,A102
A090,A144
A094,A136
A094,A137
A094,A170
A095,A096
A095,A126
A095,A136
A096,A097
A097,A147
A098,A099
A099,A104
A101,A146
A107,A149
A127,A146
A131,A141
A136,A137
A136,A170
A137,A170
A142,A144
A142,A147
A147,A169
A168,A177
A169,A170
A176,A177
A177,A178
A183,A184
A002,A005
A002,A018
A002,A022
A002,A023
A002,A042
A002,A049
A002,A099
A002,A104
A002,A162
A002,A168
A005,A022
A005,A023
A005,A030
A005,A099
A005,A104
A006,A028
A006,A030
A008,A090
A008,A134
A011,A059
A011,A134
A013,A016
A013,A017
A013,A042
A013,A098
A013,A116
A018,A168
A022,A104
A023,A099
A027,A086
A028,A030
A030,A032
A033,A037
A033,A061
A035,A051
A037,A127
A041,A048
A042,A098
A042,A104
A042,A162
A045,A102
A049,A104
A049,A162
A056,A113
A059,A134
A064,A172
A065,A073
A075,A162
A104,A162
A142,A146
A144,A146
