sensor,n,n_missing,missing_rate,n_zero,zero_rate,n_unique,mean,median,std,min,p01,p05,p95,p99,max,longest_nan_run,longest_zero_run,n_nan_runs,n_zero_runs,n_zero_runs_ge_1h,n_zero_runs_ge_6h,n_zero_runs_ge_1day,status
A047,13248,13248,1.0,0,0.0,0,,,,,,,,,,13248,0,1,0,0,0,0,all_nan
A109,13248,13248,1.0,0,0.0,0,,,,,,,,,,13248,0,1,0,0,0,0,all_nan
A120,13248,13248,1.0,0,0.0,0,,,,,,,,,,13248,0,1,0,0,0,0,all_nan
A122,13248,13248,1.0,0,0.0,0,,,,,,,,,,13248,0,1,0,0,0,0,all_nan
A133,13248,13248,1.0,0,0.0,0,,,,,,,,,,13248,0,1,0,0,0,0,all_nan
A025,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A029,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A031,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A044,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A074,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A119,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A124,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A135,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A155,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A185,13248,0,0.0,13248,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13248,0,1,1,1,1,all_zero
A175,13248,4404,0.33242753623188404,4834,0.3648852657004831,29,2.949004975124378,0.0,4.503406945865567,0.0,0.0,0.0,12.850000000000364,17.0,29.0,4404,72,1,684,173,55,0,high_missing
A150,13248,0,0.0,9682,0.7308272946859904,24,0.7931763285024155,0.0,2.00628030213145,0.0,0.0,0.0,4.0,10.0,24.0,0,2916,0,1203,205,64,1,long_zero_run_ge_1day
A112,13248,0,0.0,7322,0.5526871980676329,95,4.871905193236715,0.0,9.901102353707621,0.0,0.0,0.0,22.0,45.0,199.0,0,2192,0,612,101,44,3,long_zero_run_ge_1day
A139,13248,0,0.0,5123,0.3866998792270531,41,3.8908514492753623,2.0,4.772219082894029,0.0,0.0,0.0,13.0,20.0,51.0,0,480,0,701,132,57,2,long_zero_run_ge_1day
A007,13248,0,0.0,3622,0.2733997584541063,473,156.83182367149757,114.0,152.0009225752864,0.0,0.0,0.0,402.0,437.0,491.0,0,3621,0,2,1,1,1,long_zero_run_ge_1day
A057,13248,0,0.0,2942,0.22207125603864733,793,252.571029589372,215.0,230.72230985581766,0.0,0.0,0.0,647.0,725.0,879.0,0,2942,0,1,1,1,1,long_zero_run_ge_1day
A079,13248,0,0.0,2816,0.21256038647342995,12,2.5184178743961354,2.0,1.76803662343936,0.0,0.0,0.0,6.0,6.0,12.0,0,510,0,1047,65,2,2,long_zero_run_ge_1day
A125,13248,0,0.0,2319,0.17504528985507245,37,3.93131038647343,4.0,3.741410155921743,0.0,0.0,0.0,11.0,19.0,42.0,0,151,0,1128,66,2,1,long_zero_run_ge_1day
A128,13248,0,0.0,2035,0.15360809178743962,418,126.98150664251207,100.0,116.5913855268434,0.0,0.0,0.0,328.0,367.53000000000065,815.0,0,2012,0,24,1,1,1,long_zero_run_ge_1day
A085,13248,0,0.0,1672,0.12620772946859904,512,146.3899456521739,118.0,133.44991914389044,0.0,0.0,0.0,396.0,453.0,561.0,0,1294,0,52,3,3,2,long_zero_run_ge_1day
A164,13248,0,0.0,1634,0.12333937198067634,69,10.062650966183575,9.0,8.283968933562113,0.0,0.0,0.0,24.0,34.0,118.0,0,277,0,823,59,1,1,long_zero_run_ge_1day
